day_of_year,threshold_15,threshold_31
62,288.16510009765625,288.7543029785156
63,288.3616027832031,289.019287109375
64,288.57336730957036,289.2497863769531
65,288.865966796875,289.4540710449219
66,289.13812255859375,289.6784362792969
67,289.4530029296875,289.90753173828125
68,289.77471923828125,290.12347412109375
69,290.0596618652344,290.3271484375
70,290.3623352050781,290.50830078125
71,290.6277160644531,290.6687316894531
72,290.8963317871094,290.8092956542969
73,291.1373596191406,290.9914245605469
74,291.3727111816406,291.1808776855469
75,291.5827941894531,291.3835754394531
76,291.8027648925781,291.5986022949219
77,291.97149658203125,291.8198547363281
78,292.0873107910156,292.0179748535156
79,292.2001953125,292.1654357910156
80,292.26806640625,292.3193054199219
81,292.40277099609375,292.5079040527344
82,292.5504150390625,292.68475341796875
83,292.7157897949219,292.84991455078125
84,292.8688049316406,292.99365234375
85,293.0774841308594,293.1201477050781
86,293.24530029296875,293.2511291503906
87,293.3146667480469,293.3583679199219
88,293.392822265625,293.4644775390625
89,293.50286865234375,293.58740234375
90,293.6758117675781,293.68658447265625
91,293.78265380859375,293.783935546875
92,293.8803405761719,293.8572998046875
93,294.03900146484375,293.95538330078125
94,294.2004699707031,294.05889892578125
95,294.3292236328125,294.1759033203125
96,294.4270324707031,294.2966613769531
97,294.5288391113281,294.4464416503906
98,294.5824890136719,294.61676025390625
99,294.6393127441406,294.796630859375
100,294.6398620605469,294.9548645019531
101,294.6817321777344,295.1269836425781
102,294.8297424316406,295.2601623535156
103,295.0192565917969,295.4023132324219
104,295.146484375,295.52752685546875
105,295.3078918457031,295.6276550292969
106,295.5141296386719,295.7621765136719
107,295.76995849609375,295.8958740234375
108,295.9647216796875,296.0213623046875
109,296.11993408203125,296.14056396484375
110,296.2383117675781,296.2504577636719
111,296.3504943847656,296.3979797363281
112,296.42669677734375,296.53948974609375
113,296.4852294921875,296.69256591796875
114,296.63818359375,296.8616638183594
115,296.7967224121094,297.0264587402344
116,296.92047119140625,297.1937255859375
117,297.0303955078125,297.34130859375
118,297.1199645996094,297.50274658203125
119,297.2329406738281,297.63311767578125
120,297.33837890625,297.7470397949219
121,297.4957580566406,297.87054443359375
122,297.6663818359375,298.0387268066406
123,297.8414001464844,298.222412109375
124,298.0336608886719,298.3883361816406
125,298.269287109375,298.52593994140625
126,298.5043640136719,298.6776428222656
127,298.68341064453125,298.8625793457031
128,298.86724853515625,299.0390930175781
129,299.0170593261719,299.21844482421875
130,299.2514343261719,299.4183654785156
131,299.4869079589844,299.6333923339844
132,299.7144470214844,299.8564147949219
133,299.8707580566406,300.0578308105469
134,300.01947021484375,300.23016357421875
135,300.2497863769531,300.3857696533205
136,300.4457702636719,300.5521240234375
137,300.6173400878906,300.7383117675781
138,300.830322265625,300.9529724121094
139,301.0324401855469,301.17388916015625
140,301.238037109375,301.3927001953125
141,301.3982849121094,301.5760192871094
142,301.5746765136719,301.7503662109375
143,301.73394775390625,301.9223937988281
144,301.8780517578125,302.1044616699219
145,302.0169677734375,302.2890930175781
146,302.24524230957036,302.5174255371094
