Date,Mean,Median,P90,P95,Max,day_of_year_y,threshold_15,threshold_31,month_num,day_num,month_name,Mean>threshold_31,Median>threshold_31,P90>threshold_31,P95>threshold_31,Max>threshold_31,heat_wave
2010-01-22,-1.4296875,0.40079650878908524,1.713653564453125,2.065155029296875,5.4975586,22,8.220849609375023,8.768518066406273,1,22,January,No,No,No,No,No,nella norma
2010-01-23,-0.9248657,-0.34731140136716476,1.8525665283203239,2.13684539794923,3.2249146,23,8.332177734375023,8.903100585937523,1,23,January,No,No,No,No,No,nella norma
2010-01-24,-1.1046143,-0.8426422119140398,1.6734802246094205,1.8186889648437727,2.7586365,24,8.463433837890648,9.025079345703148,1,24,January,No,No,No,No,No,nella norma
2010-01-25,-1.978302,-0.6745819091796648,1.5181396484375114,1.7564895629882926,3.4607239,25,8.549829101562523,9.137139892578148,1,25,January,No,No,No,No,No,nella norma
2010-01-26,-2.0496826,-0.5044921874999773,1.7074798583984716,1.9799118041992188,3.5299377,26,8.675988769531273,9.221795654296898,1,26,January,No,No,No,No,No,nella norma
2010-01-27,-2.17984,-0.8011535644531023,1.4255462646484602,1.7495056152343977,3.9055176,27,8.838372802734398,9.310388183593716,1,27,January,No,No,No,No,No,nella norma
2010-01-28,-1.546936,0.5166412353515852,1.5103332519531705,2.1933837890625227,7.5174255,28,8.982110595703148,9.396813964843716,1,28,January,No,No,No,No,No,nella norma
2010-01-29,-2.390503,0.20243225097658524,1.413610839843784,1.6452301025390739,4.1819153,29,9.179467773437523,9.485528564453148,1,29,January,No,No,No,No,No,nella norma
2010-01-30,-1.6724854,0.8157745361328352,2.8730377197265966,3.0338973999023438,5.947418,30,9.398919677734398,9.592919921875023,1,30,January,No,No,No,No,No,nella norma
2010-01-31,-3.9134521,-0.5320800781249773,2.101446533203159,2.631259155273483,4.6391296,31,9.650933837890648,9.715692138671898,1,31,January,No,No,No,No,No,nella norma
2010-02-01,-4.1018066,-0.7122711181640398,0.8371856689453239,1.149267578125034,3.4205017,32,9.858605957031273,9.822473144531273,2,1,February,No,No,No,No,No,nella norma
2010-02-02,-3.2589111,-0.20604553222653976,1.5294311523437614,1.9796981811523438,4.996155,33,10.038507080078148,9.934350585937523,2,2,February,No,No,No,No,No,nella norma
2010-02-03,-0.9493103,0.5908447265625227,2.2918853759765625,2.743075561523426,5.333679,34,10.152825927734398,10.057611083984398,2,3,February,No,No,No,No,No,nella norma
2010-02-04,-0.6522217,0.5500122070312727,2.137722778320324,2.663182067871105,5.5689697,35,10.258233642578148,10.187036132812523,2,4,February,No,No,No,No,No,nella norma
2010-02-05,-0.230896,0.09200439453127274,4.5013885498046875,4.952478027343773,8.674194,36,10.337670898437523,10.305505371093716,2,5,February,No,No,No,No,No,nella norma
2010-02-06,2.6347656,3.6984191894531477,7.579357910156261,8.078486633300827,10.058624,37,10.430688476562523,10.439691162109398,2,6,February,No,No,No,No,No,nella norma
2010-02-07,2.5618591,5.103936767578148,7.689511108398449,8.22626800537114,10.511475,38,10.543695068359398,10.577844238281273,2,7,February,No,No,No,No,No,nella norma
2010-02-08,-0.6246033,0.6239257812500227,3.8876800537109375,4.067851257324264,5.5181885,39,10.655023193359398,10.730828857421898,2,8,February,No,No,No,No,No,nella norma
2010-02-09,-1.6914368,0.43572387695314774,2.5380157470703466,2.771455383300804,4.9056396,40,10.756860351562523,10.901849365234398,2,9,February,No,No,No,No,No,nella norma
2010-02-10,0.20117188,1.4241882324218977,4.976495361328148,5.413603210449253,7.5605164,41,10.860223388671898,11.077508544921898,2,10,February,No,No,No,No,No,nella norma
2010-02-11,-2.204956,0.08339843750002274,2.3297332763672216,2.6572952270507812,6.0835876,42,10.955041503906273,11.234979248046898,2,11,February,No,No,No,No,No,nella norma
2010-02-12,-0.37738037,1.6000152587890852,4.9367858886719205,5.532829284667969,6.617157,43,11.058068847656273,11.380792236328148,2,12,February,No,No,No,No,No,nella norma
2010-02-13,-0.041778564,2.3590789794922102,6.01563415527346,6.2810226440429915,7.2183228,44,11.152307128906273,11.539086914062523,2,13,February,No,No,No,No,No,nella norma
2010-02-14,-0.12930298,2.0559631347656477,5.775503540039097,6.177633666992222,7.4267273,45,11.282586669921898,11.707574462890648,2,14,February,No,No,No,No,No,nella norma
2010-02-15,0.07208252,3.3199249267578352,5.808139038085983,6.1117126464844205,7.180359,46,11.377709960937523,11.892053222656273,2,15,February,No,No,No,No,No,nella norma
2010-02-16,0.33087158,2.4322906494140852,5.2592956542969205,5.6563598632812955,8.151001,47,11.567529296875023,12.081781005859398,2,16,February,No,No,No,No,No,nella norma
2010-02-17,2.4288635,4.044793701171898,6.553225708007858,7.025093078613281,8.725311,48,11.790551757812523,12.257287597656273,2,17,February,No,No,No,No,No,nella norma
2010-02-18,5.164978,7.38233337402346,9.423330688476597,9.770903015136753,12.04187,49,12.058190917968773,12.443261718750023,2,18,February,No,No,No,No,No,nella norma
2010-02-19,4.3416443,5.718164062500023,9.570730590820347,10.047482299804699,10.987915,50,12.287377929687523,12.581140136718773,2,19,February,No,No,No,No,No,nella norma
2010-02-20,2.5510254,6.13160095214846,9.004357910156273,9.294262695312511,10.770447,51,12.525018310546898,12.753930664062523,2,20,February,No,No,No,No,No,nella norma
2010-02-21,1.1253967,4.492715454101585,7.228604125976574,7.624044799804722,9.276184,52,12.722650146484398,12.946069335937523,2,21,February,No,No,No,No,No,nella norma
2010-02-22,2.2231445,3.9093566894531477,7.900732421875034,8.500813293457043,10.253326,53,12.964807128906273,13.163659667968773,2,22,February,No,No,No,No,No,nella norma
2010-02-23,3.9940186,6.05048522949221,8.405804443359386,8.901783752441418,10.123291,54,13.224938964843716,13.396020507812523,2,23,February,No,No,No,No,No,nella norma
2010-02-24,6.3405457,9.336267089843773,10.788546752929733,11.084135437011753,12.61319,55,13.496362304687523,13.671441650390648,2,24,February,No,No,No,No,No,nella norma
2010-02-25,6.6205444,9.915765380859398,11.899395751953136,12.04841461181644,13.078674,56,13.720147705078148,13.941125488281273,2,25,February,No,No,No,No,No,nella norma
2010-02-26,6.255554,9.060586547851585,11.347265625000034,11.813047790527378,13.489319,57,13.976983642578148,14.231011962890648,2,26,February,No,No,No,No,No,nella norma
2010-02-27,4.8493958,8.269342041015648,10.376794433593773,10.558708190917969,11.832031,58,14.121606445312523,14.504144287109398,2,27,February,No,No,No,No,No,nella norma
2010-02-28,3.7640076,5.739373779296898,8.492120361328148,9.182521057128952,13.003357,59,14.345910644531273,14.774072265625023,2,28,February,No,No,No,No,No,nella norma
2010-03-01,6.0446777,8.978067016601585,10.93750915527346,11.152458190917969,11.936371,60,14.544458007812523,15.051171875000023,3,1,March,No,No,No,No,No,nella norma
2010-03-02,6.9257812,10.472375488281273,12.509158325195358,12.690521240234375,13.75177,61,14.765344238281273,15.317895507812523,3,2,March,No,No,No,No,No,nella norma
2010-03-03,5.1803284,7.563043212890648,10.486941528320358,10.863632202148438,12.9800415,62,15.015100097656273,15.604302978515648,3,3,March,No,No,No,No,No,nella norma
2010-03-04,4.293457,6.804620361328148,9.025173950195324,9.344526672363315,11.627838,63,15.211602783203148,15.869287109375023,3,4,March,No,No,No,No,No,nella norma
