Timestamp,Numero Timestamp,Indice,Media (°C),Mediana (°C),95° Perc. (°C),99° Perc. (°C),Massimo (°C),Soglia (°C),Media > Soglia,Mediana > Soglia,95° Perc. > Soglia,99° Perc. > Soglia,Massimo > Soglia,Data,days_over_threshold
2023-07-17T15:00:00.000000000,23465,Heat Index,33.82831954956055,34.41664505004883,41.74623184204101,42.626287651062015,44.10075378417969,40.6,no,no,si,si,si,2023-07-17,1
2023-07-17T15:00:00.000000000,23465,Humidex,35.14013671875,38.01991653442383,44.736755752563475,45.632275047302244,47.16594314575195,45.0,no,no,no,si,si,2023-07-17,1
2023-07-17T15:00:00.000000000,23465,Lethal Heat Stress Index,23.34577178955078,24.783620834350586,27.67483606338501,28.11603048324585,29.107450485229492,27.0,no,no,si,si,si,2023-07-17,1
2023-07-17T15:00:00.000000000,23465,UTCI,34.94303512573242,36.61151885986328,44.44307956695557,45.058379287719724,46.14048385620117,46.0,no,no,no,no,si,2023-07-17,1
2023-07-17T15:00:00.000000000,23465,WBGT,23.572853088378906,25.402393341064453,28.850944900512694,29.354012184143066,30.17329216003418,30.0,no,no,no,no,si,2023-07-17,2
2023-07-18T16:00:00.000000000,23472,WBGT,23.88819694519043,25.76860809326172,29.7968786239624,30.33560214996338,31.133190155029297,30.0,no,no,no,si,si,2023-07-18,2
2023-07-18T16:00:00.000000000,23472,UTCI,34.03019714355469,35.73688507080078,44.69691867828369,45.28666603088379,46.08292007446289,46.0,no,no,no,no,si,2023-07-18,1
2023-07-18T16:00:00.000000000,23472,Lethal Heat Stress Index,23.981258392333984,25.636634826660156,28.837665653228758,29.773191223144533,30.483884811401367,27.0,no,no,si,si,si,2023-07-18,1
2023-07-18T16:00:00.000000000,23472,Humidex,35.54045104980469,38.58184814453125,46.37408008575439,47.32589050292969,48.85659408569336,45.0,no,no,si,si,si,2023-07-18,1
2023-07-18T16:00:00.000000000,23472,Heat Index,34.039676666259766,34.4534912109375,43.19728775024414,44.12103675842285,45.65134811401367,40.6,no,no,si,si,si,2023-07-18,1
2023-07-18T15:00:00.000000000,23471,WBGT,24.332963943481445,25.921466827392578,29.954139995574952,30.428943977355956,31.337316513061523,30.0,no,no,no,si,si,2023-07-18,1
2023-07-18T15:00:00.000000000,23471,Lethal Heat Stress Index,24.30963706970215,25.80229949951172,28.812372493743897,29.41356924057007,30.718952178955078,27.0,no,no,si,si,si,2023-07-18,1
2023-07-18T15:00:00.000000000,23471,UTCI,34.90339279174805,36.761619567871094,45.1104133605957,45.683546752929686,46.66127395629883,46.0,no,no,no,no,si,2023-07-18,1
2023-07-18T15:00:00.000000000,23471,Heat Index,34.66328048706055,35.12163162231445,43.59092426300049,44.495571823120116,46.35829544067383,40.6,no,no,si,si,si,2023-07-18,1
2023-07-18T14:00:00.000000000,23470,WBGT,24.626489639282227,26.185935974121094,29.806838607788087,30.215167236328124,31.102039337158203,30.0,no,no,no,si,si,2023-07-18,1
2023-07-18T14:00:00.000000000,23470,UTCI,35.42149353027344,37.217124938964844,44.75906600952148,45.39278602600098,46.45408630371094,46.0,no,no,no,no,si,2023-07-18,1
2023-07-18T14:00:00.000000000,23470,Lethal Heat Stress Index,24.5614013671875,25.897645950317383,28.73195962905884,29.20877088546753,30.38631248474121,27.0,no,no,si,si,si,2023-07-18,1
2023-07-18T14:00:00.000000000,23470,Humidex,36.83778381347656,39.39385223388672,46.37569541931152,47.17553073883057,48.83514404296875,45.0,no,no,si,si,si,2023-07-18,1
2023-07-18T14:00:00.000000000,23470,Heat Index,34.72236633300781,35.523719787597656,43.214802742004395,44.048859748840336,45.77535629272461,40.6,no,no,si,si,si,2023-07-18,1
2023-07-18T15:00:00.000000000,23471,Humidex,36.348731994628906,38.908775329589844,46.70096397399902,47.59358283996582,49.36301803588867,45.0,no,no,si,si,si,2023-07-18,2
2023-07-19T14:00:00.000000000,23476,WBGT,23.903841018676758,26.07693099975586,29.66116609573364,30.078763961791992,30.556419372558594,30.0,no,no,no,si,si,2023-07-19,2
2023-07-19T15:00:00.000000000,23477,WBGT,22.86374855041504,24.771621704101562,28.766339588165284,29.52483238220215,30.446531295776367,30.0,no,no,no,no,si,2023-07-19,1
2023-07-19T15:00:00.000000000,23477,UTCI,32.843379974365234,35.06816864013672,44.436673927307126,45.166323051452636,46.52305603027344,46.0,no,no,no,no,si,2023-07-19,1
2023-07-19T15:00:00.000000000,23477,Lethal Heat Stress Index,22.998506546020508,24.80521583557129,27.586652088165284,28.143368377685547,28.944364547729492,27.0,no,no,si,si,si,2023-07-19,1
2023-07-19T15:00:00.000000000,23477,Humidex,33.72623062133789,36.75184631347656,44.63629074096679,45.98607433319092,47.80809783935547,45.0,no,no,no,si,si,2023-07-19,1
2023-07-19T15:00:00.000000000,23477,Heat Index,32.79447555541992,33.09992980957031,41.71185932159424,42.94773403167725,44.792903900146484,40.6,no,no,si,si,si,2023-07-19,1
2023-07-19T14:00:00.000000000,23476,UTCI,34.9025764465332,37.2450065612793,45.357662963867185,46.129793128967286,47.21546936035156,46.0,no,no,no,si,si,2023-07-19,1
2023-07-19T13:00:00.000000000,23475,Heat Index,34.90616989135742,35.990211486816406,43.45293636322021,44.22218860626221,48.145225524902344,40.6,no,no,si,si,si,2023-07-19,1
2023-07-19T14:00:00.000000000,23476,Humidex,35.6909294128418,39.20032501220703,46.24339637756348,47.061246719360355,48.00391387939453,45.0,no,no,si,si,si,2023-07-19,1
