Timestamp,Numero Timestamp,Indice,Media (°C),Mediana (°C),95° Perc. (°C),99° Perc. (°C),Massimo (°C),Soglia (°C),Media > Soglia,Mediana > Soglia,95° Perc. > Soglia,99° Perc. > Soglia,Massimo > Soglia,Data,Heat Wave
2023-07-18T15:00:00.000000000,286,Heat Index,116.98954772949219,96.77946472167969,220.98466339111312,261.08318786621095,325.2593994140625,40.6,si,si,si,si,si,2023-07-18,heat wave
2023-07-18T15:00:00.000000000,286,Humidex,36.27141757472967,39.3581265055478,46.446443029844524,47.207132821514996,48.380250683995996,45.0,no,no,si,si,si,2023-07-18,heat wave
2023-07-18T15:00:00.000000000,286,Lethal Heat Stress Index,24.18778419494629,25.802417755126953,28.637071418762208,29.125062656402587,29.54237174987793,27.0,no,no,si,si,si,2023-07-18,heat wave
2023-07-18T15:00:00.000000000,286,UTCI,35.11288833618164,38.044921875,44.76243019104004,45.39034942626953,46.477210998535156,46.0,no,no,no,no,si,2023-07-18,heat wave
2023-07-18T15:00:00.000000000,286,WBGT,24.27825355529785,26.15682601928711,29.831686305999757,30.210700874328612,30.7860050201416,30.0,no,no,no,si,si,2023-07-18,heat wave
2023-07-19T13:00:00.000000000,290,Heat Index,110.22196197509766,90.84127807617188,222.23912811279294,264.3647964477539,338.9795837402344,40.6,si,si,si,si,si,2023-07-19,heat wave
2023-07-19T13:00:00.000000000,290,Humidex,36.55211326551322,40.93962375668278,46.55769683327652,47.22058030368247,48.195999707530746,45.0,no,no,si,si,si,2023-07-19,heat wave
2023-07-19T13:00:00.000000000,290,Lethal Heat Stress Index,24.11224937438965,26.129671096801758,28.577725696563718,29.067919883728027,29.94596290588379,27.0,no,no,si,si,si,2023-07-19,heat wave
2023-07-19T13:00:00.000000000,290,UTCI,35.83036804199219,39.428977966308594,45.1712043762207,45.88873332977295,46.81281661987305,46.0,no,no,no,no,si,2023-07-19,heat wave
2023-07-19T13:00:00.000000000,290,WBGT,24.379667282104492,26.937721252441406,29.86542558670044,30.212863273620606,30.758499145507812,30.0,no,no,no,si,si,2023-07-19,heat wave
2023-07-19T14:00:00.000000000,291,Heat Index,111.68379974365234,91.65846252441406,233.41584243774395,277.03621307373044,341.9955749511719,40.6,si,si,si,si,si,2023-07-19,heat wave
2023-07-19T14:00:00.000000000,291,Humidex,36.104279253628576,40.43520772562562,45.72259199280981,46.640403091215795,47.90135961666277,45.0,no,no,si,si,si,2023-07-19,heat wave
2023-07-19T14:00:00.000000000,291,Lethal Heat Stress Index,23.854442596435547,25.762874603271484,28.292884635925294,28.847028694152833,29.360319137573242,27.0,no,no,si,si,si,2023-07-19,heat wave
2023-07-19T14:00:00.000000000,291,UTCI,35.51646423339844,38.994285583496094,44.83628540039062,45.55707439422608,46.90663528442383,46.0,no,no,no,no,si,2023-07-19,heat wave
2023-07-19T14:00:00.000000000,291,WBGT,24.126649856567383,26.631011962890625,29.446013355255126,29.923444957733153,30.50865936279297,30.0,no,no,no,no,si,2023-07-19,heat wave
2023-08-22T13:00:00.000000000,494,Heat Index,107.9908676147461,83.53794860839844,198.68746948242185,235.6353594970703,305.59222412109375,40.6,si,si,si,si,si,2023-08-22,heat wave
2023-08-22T13:00:00.000000000,494,Humidex,37.27374333609489,41.21294238483645,44.86943781226457,45.679160682964955,47.07413633803151,45.0,no,no,no,si,si,2023-08-22,heat wave
2023-08-22T13:00:00.000000000,494,Lethal Heat Stress Index,24.639545440673828,26.444625854492188,27.69299325942993,27.97254463195801,28.35393524169922,27.0,no,no,si,si,si,2023-08-22,heat wave
2023-08-22T13:00:00.000000000,494,UTCI,36.29203796386719,40.113433837890625,43.819474601745604,44.78089298248291,46.133480072021484,46.0,no,no,no,no,si,2023-08-22,heat wave
2023-08-22T13:00:00.000000000,494,WBGT,24.883548736572266,27.110137939453125,28.97792873382568,29.374528026580812,30.084077835083008,30.0,no,no,no,no,si,2023-08-22,heat wave
2023-08-22T14:00:00.000000000,495,Heat Index,106.6049575805664,81.38055419921875,201.59164733886715,236.61616958618157,306.2922058105469,40.6,si,si,si,si,si,2023-08-22,heat wave
2023-08-22T14:00:00.000000000,495,Humidex,37.57127568818381,41.597896600682475,45.2394198918494,46.04206105369678,47.3026578106132,45.0,no,no,si,si,si,2023-08-22,heat wave
2023-08-22T14:00:00.000000000,495,Lethal Heat Stress Index,24.70136070251465,26.537065505981445,27.695896339416503,27.925137462615968,28.3536319732666,27.0,no,no,si,si,si,2023-08-22,heat wave
2023-08-22T14:00:00.000000000,495,UTCI,36.66786193847656,40.590972900390625,44.333276939392086,45.19943252563476,46.510128021240234,46.0,no,no,no,no,si,2023-08-22,heat wave
2023-08-22T14:00:00.000000000,495,WBGT,25.029682159423828,27.30051040649414,29.139189529418946,29.54588125228882,30.17792320251465,30.0,no,no,no,no,si,2023-08-22,heat wave
2023-08-22T15:00:00.000000000,496,Heat Index,108.51043701171875,80.98458862304688,213.17864532470702,248.2931675720214,313.302490234375,40.6,si,si,si,si,si,2023-08-22,heat wave
2023-08-22T15:00:00.000000000,496,Humidex,37.336897994935896,41.60055920120479,45.06534638003387,45.797157232027516,47.12336857763154,45.0,no,no,si,si,si,2023-08-22,heat wave
2023-08-22T15:00:00.000000000,496,Lethal Heat Stress Index,24.55961036682129,26.489742279052734,27.580274486541747,27.793920612335206,28.177234649658203,27.0,no,no,si,si,si,2023-08-22,heat wave
2023-08-22T15:00:00.000000000,496,UTCI,36.468727111816406,40.657630920410156,44.268063354492185,45.11349975585937,46.241920471191406,46.0,no,no,no,no,si,2023-08-22,heat wave
