Timestamp,Numero Timestamp,Indice,Media (°C),Mediana (°C),95° Perc. (°C),99° Perc. (°C),Massimo (°C),Soglia (°C),Media > Soglia,Mediana > Soglia,95° Perc. > Soglia,99° Perc. > Soglia,Massimo > Soglia,Data,Heat Wave
1983-07-27T13:00:00.000000000,1442,Heat Index,34.99317932128906,36.58623504638672,42.73419609069824,43.43569881439209,45.31987380981445,40.6,no,no,si,si,si,1983-07-27,caso isolato
1983-07-27T13:00:00.000000000,1442,Humidex,36.596649169921875,39.44725036621094,45.85443477630615,46.53245681762695,47.97665023803711,45.0,no,no,si,si,si,1983-07-27,caso isolato
1983-07-27T13:00:00.000000000,1442,Lethal Heat Stress Index,23.73537254333496,25.149330139160156,28.188469314575194,28.58493412017822,29.4752197265625,27.0,no,no,si,si,si,1983-07-27,caso isolato
1983-07-27T13:00:00.000000000,1442,UTCI,36.92560958862305,39.48854064941406,44.63715744018555,45.20096939086914,46.24793243408203,46.0,no,no,no,no,si,1983-07-27,caso isolato
1983-07-27T13:00:00.000000000,1442,WBGT,24.30717658996582,26.023712158203125,29.4993257522583,29.874362964630127,30.616455078125,30.0,no,no,no,no,si,1983-07-27,caso isolato
1983-07-27T14:00:00.000000000,1443,Heat Index,35.067596435546875,36.714698791503906,42.691032028198244,43.427408638000486,45.81564712524414,40.6,no,no,si,si,si,1983-07-27,caso isolato
1983-07-27T14:00:00.000000000,1443,Humidex,36.45606231689453,39.23521423339844,45.651583671569824,46.44174308776856,47.9547233581543,45.0,no,no,si,si,si,1983-07-27,caso isolato
1983-07-27T14:00:00.000000000,1443,Lethal Heat Stress Index,23.30239486694336,24.544498443603516,27.60635585784912,28.153487339019776,29.419973373413086,27.0,no,no,si,si,si,1983-07-27,caso isolato
1983-07-27T14:00:00.000000000,1443,UTCI,37.43366241455078,40.034942626953125,45.60498046875,46.18053359985352,47.07583999633789,46.0,no,no,no,si,si,1983-07-27,caso isolato
1983-07-27T14:00:00.000000000,1443,WBGT,24.128177642822266,25.801849365234375,29.29224586486816,29.74388759613037,30.581363677978516,30.0,no,no,no,no,si,1983-07-27,caso isolato
1983-07-27T15:00:00.000000000,1444,Heat Index,34.775718688964844,36.46502685546875,42.137088203430174,42.900259513854984,45.51969909667969,40.6,no,no,si,si,si,1983-07-27,caso isolato
1983-07-27T15:00:00.000000000,1444,Humidex,35.906131744384766,38.88932800292969,44.90112781524658,45.8328946685791,47.316715240478516,45.0,no,no,no,si,si,1983-07-27,caso isolato
1983-07-27T15:00:00.000000000,1444,Lethal Heat Stress Index,22.727338790893555,23.896160125732422,26.829921436309814,27.634652404785157,28.983680725097656,27.0,no,no,no,si,si,1983-07-27,caso isolato
1983-07-27T15:00:00.000000000,1444,UTCI,37.48023223876953,40.05139923095703,45.852196311950685,46.381155281066896,47.265384674072266,46.0,no,no,no,si,si,1983-07-27,caso isolato
1983-07-27T15:00:00.000000000,1444,WBGT,23.723636627197266,25.48817253112793,28.761859893798828,29.373119430541994,30.28694725036621,30.0,no,no,no,no,si,1983-07-27,caso isolato
2013-08-06T14:00:00.000000000,18063,Heat Index,33.68583679199219,34.62730026245117,40.684374427795404,41.5163843536377,43.70793914794922,40.6,no,no,si,si,si,2013-08-06,caso isolato
2013-08-06T14:00:00.000000000,18063,Humidex,34.794769287109375,37.87420654296875,43.60479164123535,44.58851169586182,46.854679107666016,45.0,no,no,no,no,si,2013-08-06,caso isolato
2013-08-06T14:00:00.000000000,18063,Lethal Heat Stress Index,23.092554092407227,24.468276977539062,27.315414142608642,27.824929542541504,28.843719482421875,27.0,no,no,si,si,si,2013-08-06,caso isolato
2013-08-06T14:00:00.000000000,18063,UTCI,34.91318130493164,37.37035369873047,44.265249252319336,45.024423065185545,46.01473617553711,46.0,no,no,no,no,si,2013-08-06,caso isolato
2013-08-06T14:00:00.000000000,18063,WBGT,23.360416412353516,25.276823043823242,28.284255504608154,28.86089277267456,30.058231353759766,30.0,no,no,no,no,si,2013-08-06,caso isolato
2013-08-07T12:00:00.000000000,18067,Heat Index,32.26045227050781,32.212928771972656,40.930675125122065,42.1387915802002,45.8773307800293,40.6,no,no,si,si,si,2013-08-07,caso isolato
2013-08-07T12:00:00.000000000,18067,Humidex,32.69253921508789,35.08842849731445,44.028321456909175,45.392223892211916,47.921600341796875,45.0,no,no,no,si,si,2013-08-07,caso isolato
2013-08-07T12:00:00.000000000,18067,Lethal Heat Stress Index,22.196216583251953,23.64959144592285,27.458158683776855,28.57765121459961,30.476749420166016,27.0,no,no,si,si,si,2013-08-07,caso isolato
2013-08-07T12:00:00.000000000,18067,UTCI,33.01049041748047,34.876487731933594,43.037649154663086,44.24051036834717,46.90652084350586,46.0,no,no,no,no,si,2013-08-07,caso isolato
2013-08-07T12:00:00.000000000,18067,WBGT,22.17548179626465,23.750080108642578,28.530533027648925,29.340401649475098,30.652862548828125,30.0,no,no,no,no,si,2013-08-07,caso isolato
2013-08-07T13:00:00.000000000,18068,Heat Index,32.606597900390625,32.76917266845703,41.25275058746338,42.55046459197998,46.64063262939453,40.6,no,no,si,si,si,2013-08-07,caso isolato
2013-08-07T13:00:00.000000000,18068,Humidex,32.92225646972656,35.62255859375,44.147450065612794,45.72693004608154,48.289947509765625,45.0,no,no,no,si,si,2013-08-07,caso isolato
2013-08-07T13:00:00.000000000,18068,Lethal Heat Stress Index,22.112903594970703,23.63136863708496,27.085412311553952,28.613232975006103,29.65300750732422,27.0,no,no,si,si,si,2013-08-07,caso isolato
