day_of_year,threshold_15,threshold_31,month_num,day_num,month_name
197,310.4947509765625,310.3382263183594,7,16,July
198,310.611083984375,310.37945556640625,7,17,July
199,310.6610717773437,310.4412536621094,7,18,July
200,310.6785888671875,310.5021667480469,7,19,July
201,310.69268798828125,310.55450439453125,7,20,July
202,310.78076171875,310.5993347167969,7,21,July
203,310.8194885253906,310.6211853027344,7,22,July
204,310.86187744140625,310.6237487792969,7,23,July
205,310.87945556640625,310.6251220703125,7,24,July
206,310.8973999023437,310.6523132324219,7,25,July
207,310.9522705078125,310.6624755859375,7,26,July
208,310.991455078125,310.6430969238281,7,27,July
209,311.0011901855469,310.6130676269531,7,28,July
210,310.9911499023437,310.6168212890625,7,29,July
211,310.9307556152344,310.6147766113281,7,30,July
212,310.8096008300781,310.61688232421875,7,31,July
213,310.72674560546875,310.6063537597656,8,1,August
214,310.70611572265625,310.5925598144531,8,2,August
215,310.6681213378906,310.5845642089844,8,3,August
216,310.5953063964844,310.5543518066406,8,4,August
217,310.491943359375,310.5207824707031,8,5,August
218,310.4690246582031,310.4786071777344,8,6,August
219,310.3822021484375,310.4350891113281,8,7,August
220,310.3471069335937,310.3587646484375,8,8,August
221,310.3098449707031,310.29754638671875,8,9,August
222,310.2188720703125,310.2523803710937,8,10,August
223,310.1091613769531,310.1973876953125,8,11,August
224,309.99041748046875,310.1265869140625,8,12,August
225,309.9101867675781,310.0293884277344,8,13,August
226,309.8925476074219,309.9575500488281,8,14,August
227,309.9075622558594,309.85455322265625,8,15,August
228,309.9004821777344,309.7430725097656,8,16,August
229,309.83154296875,309.6184997558594,8,17,August
230,309.7646789550781,309.4573669433594,8,18,August
231,309.7131652832031,309.2862243652344,8,19,August
232,309.6298522949219,309.1080322265625,8,20,August
233,309.4858093261719,308.9397888183594,8,21,August
234,309.35614013671875,308.8016967773437,8,22,August
235,309.1682434082031,308.6779479980469,8,23,August
236,308.9101867675781,308.5503845214844,8,24,August
237,308.6291809082031,308.4012451171875,8,25,August
238,308.3614196777344,308.2458801269531,8,26,August
239,308.0724182128906,308.095947265625,8,27,August
240,307.7596130371094,307.9309387207031,8,28,August
241,307.4216003417969,307.73614501953125,8,29,August
242,307.07354736328125,307.5642395019531,8,30,August
243,306.7582397460937,307.34259033203125,8,31,August
244,306.4012451171875,307.1022033691406,9,1,September
245,306.0947265625,306.8620300292969,9,2,September
246,305.7872314453125,306.6402893066406,9,3,September
247,305.5390625,306.3827514648437,9,4,September
248,305.321566772461,306.11578369140625,9,5,September
249,305.1116027832031,305.8528137207031,9,6,September
250,304.90606689453125,305.5853271484375,9,7,September
251,304.7346496582031,305.3330078125,9,8,September
252,304.5662536621094,305.0718078613281,9,9,September
253,304.4800109863281,304.8409423828125,9,10,September
254,304.3222045898437,304.5722961425781,9,11,September
255,304.1481018066406,304.3248291015625,9,12,September
256,303.9311828613281,304.07720947265625,9,13,September
257,303.7451171875,303.8451232910156,9,14,September
258,303.5835876464844,303.6135559082031,9,15,September
259,303.4365234375,303.3873291015625,9,16,September
260,303.2171936035156,303.18096923828125,9,17,September
261,302.9562683105469,303.0004577636719,9,18,September
262,302.6878967285156,302.7829895019531,9,19,September
263,302.326904296875,302.5702514648437,9,20,September
264,301.9999084472656,302.34893798828125,9,21,September
265,301.7039794921875,302.14556884765625,9,22,September
266,301.41229248046875,301.9472045898437,9,23,September
267,301.1627197265625,301.7342529296875,9,24,September
268,300.9199523925781,301.4930114746094,9,25,September
269,300.673583984375,301.2320556640625,9,26,September
270,300.4396667480469,300.9820556640625,9,27,September
271,300.1824645996094,300.6798095703125,9,28,September
272,299.9102478027344,300.3995056152344,9,29,September
273,299.6220397949219,300.12371826171875,9,30,September
274,299.3739929199219,299.8689270019531,10,1,October
275,299.1357116699219,299.6199951171875,10,2,October
276,298.9250793457031,299.383544921875,10,3,October
277,298.7709655761719,299.1351013183594,10,4,October
278,298.5416564941406,298.91229248046875,10,5,October
279,298.29132080078125,298.67510986328125,10,6,October
280,298.0506286621094,298.4284973144531,10,7,October
281,297.87255859375,298.1703796386719,10,8,October
282,297.6419372558594,297.9222412109375,10,9,October
283,297.3822631835937,297.6913452148437,10,10,October
284,297.1001892089844,297.4713134765625,10,11,October
285,296.90478515625,297.2781982421875,10,12,October
286,296.6834411621094,297.0326843261719,10,13,October
287,296.4488830566406,296.8116149902344,10,14,October
288,296.2113647460937,296.56396484375,10,15,October
289,295.95916748046875,296.3629455566406,10,16,October
290,295.7440490722656,296.1178894042969,10,17,October
291,295.50732421875,295.8517150878906,10,18,October
292,295.203369140625,295.5701904296875,10,19,October
293,294.9661865234375,295.3173217773437,10,20,October
294,294.6684265136719,295.0570983886719,10,21,October
295,294.4187316894531,294.8200378417969,10,22,October
296,294.1483154296875,294.5764465332031,10,23,October
297,293.8634033203125,294.3218078613281,10,24,October
298,293.5968322753906,294.0639038085937,10,25,October
299,293.311767578125,293.7793273925781,10,26,October
300,293.0686340332031,293.4857177734375,10,27,October
301,292.7839050292969,293.2162170410156,10,28,October
302,292.50732421875,292.94744873046875,10,29,October
303,292.26104736328125,292.6960144042969,10,30,October
304,291.96002197265625,292.4186096191406,10,31,October
305,291.64694519042973,292.11309814453125,11,1,November
306,291.31085205078125,291.8194274902344,11,2,November
307,290.9459533691406,291.5273742675781,11,3,November
308,290.6194763183594,291.26324462890625,11,4,November
309,290.30517578125,290.9994506835937,11,5,November
310,290.0185241699219,290.7528381347656,11,6,November
311,289.7278137207031,290.5093688964844,11,7,November
312,289.4717712402344,290.24786376953125,11,8,November
313,289.226318359375,289.99285888671875,11,9,November
314,288.9647827148437,289.7377014160156,11,10,November
315,288.6698913574219,289.4559326171875,11,11,November
316,288.3385009765625,289.1607666015625,11,12,November
317,287.9996337890625,288.8810729980469,11,13,November
318,287.71441650390625,288.59716796875,11,14,November
319,287.4149169921875,288.3129272460937,11,15,November
320,287.1340026855469,288.0345764160156,11,16,November
321,286.9227905273437,287.7531433105469,11,17,November
322,286.7483215332031,287.463134765625,11,18,November
323,286.49664306640625,287.1548767089844,11,19,November
324,286.2711181640625,286.8642272949219,11,20,November
325,286.0421447753906,286.5965270996094,11,21,November
326,285.80914306640625,286.3468017578125,11,22,November
327,285.5658264160156,286.0950927734375,11,23,November
328,285.31943054199223,285.8613586425781,11,24,November
329,285.04541015625,285.65545654296875,11,25,November
330,284.8099670410156,285.41656494140625,11,26,November
331,284.605712890625,285.1788330078125,11,27,November
332,284.4261169433594,284.94940185546875,11,28,November
333,284.2537841796875,284.7012023925781,11,29,November
334,284.060302734375,284.4697570800781,11,30,November
335,283.8711853027344,284.26104736328125,12,1,December
336,283.624267578125,284.060546875,12,2,December
337,283.38656921386723,283.8529052734375,12,3,December
338,283.1529541015625,283.692626953125,12,4,December
339,282.963134765625,283.5315246582031,12,5,December
340,282.7589111328125,283.35723876953125,12,6,December
341,282.5887451171875,283.2161560058594,12,7,December
342,282.4252319335937,283.0903015136719,12,8,December
343,282.3271484375,282.9493103027344,12,9,December
344,282.2470092773437,282.78076171875,12,10,December
345,282.1932678222656,282.623291015625,12,11,December
346,282.1103210449219,282.4806823730469,12,12,December
347,281.9866638183594,282.3498840332031,12,13,December
348,281.85498046875,282.23016357421875,12,14,December
349,281.8532409667969,282.1272277832031,12,15,December
350,281.8378601074219,282.0346984863281,12,16,December
351,281.8149719238281,281.9769287109375,12,17,December
352,281.7587585449219,281.93658447265625,12,18,December
353,281.7261962890625,281.9037780761719,12,19,December
354,281.67486572265625,281.8430480957031,12,20,December
355,281.6312255859375,281.7754821777344,12,21,December
356,281.647705078125,281.7091064453125,12,22,December
357,281.62530517578125,281.6707458496094,12,23,December
358,281.5937805175781,281.6325988769531,12,24,December
359,281.5685119628906,281.602783203125,12,25,December
360,281.5347900390625,281.56951904296875,12,26,December
361,281.481201171875,281.5649719238281,12,27,December
362,281.4721374511719,281.5466003417969,12,28,December
363,281.4896850585937,281.5394287109375,12,29,December
364,281.3763427734375,281.5606384277344,12,30,December
365,281.2460632324219,281.569580078125,12,31,December
