d_start,d_end,duration,summed_avg_all_residuals,summed_avg_positive_residuals,year
1981-03-11,1981-03-11,1,1.0422941446304321,1.9684737920761108,1981
1981-03-25,1981-03-25,1,1.4536627531051636,1.670615553855896,1981
1981-04-14,1981-04-14,1,1.5331854820251465,1.5856764316558838,1981
1982-07-06,1982-07-06,1,0.9967697262763977,1.4480884075164795,1982
1983-01-17,1983-01-18,2,3.8074930906295776,5.107728004455566,1983
1983-01-26,1983-01-27,2,4.34445333480835,5.329211473464966,1983
1983-01-29,1983-01-29,1,1.0924590826034546,1.604995846748352,1983
1983-06-05,1983-06-05,1,0.7481381893157959,1.1202208995819092,1983
1983-07-19,1983-07-21,3,2.4111300110816956,3.7685877084732056,1983
1983-07-23,1983-07-23,1,1.3345731496810913,1.4292570352554321,1983
1983-07-26,1983-07-29,4,11.03963851928711,11.48608124256134,1983
1983-07-31,1983-08-01,2,3.476824998855591,3.9676796197891235,1983
1983-09-25,1983-09-25,1,2.494642972946167,3.3771982192993164,1983
1983-12-29,1983-12-29,1,1.9384222030639648,2.3866934776306152,1983
1984-01-01,1984-01-01,1,0.922619104385376,1.3462156057357788,1984
1984-07-11,1984-07-12,2,1.6157936453819275,3.174444794654846,1984
1984-12-11,1984-12-11,1,1.4525202512741089,2.239795446395874,1984
1985-07-26,1985-07-26,1,0.4568111002445221,0.6653497219085693,1985
1985-08-14,1985-08-15,2,1.1450571715831757,1.6942105889320374,1985
1985-09-21,1985-10-08,18,31.233857810497284,33.345144867897034,1985
1985-10-12,1985-10-12,1,1.4028583765029907,1.5989336967468262,1985
1985-12-17,1985-12-17,1,1.616260051727295,2.5849032402038574,1985
1986-05-19,1986-05-21,3,3.7022705674171448,4.552701234817505,1986
1986-10-03,1986-10-08,6,6.680809557437897,7.68117094039917,1986
1986-11-16,1986-11-16,1,0.620322585105896,0.9870767593383789,1986
1987-05-01,1987-05-02,2,2.306876063346863,2.945818305015564,1987
1987-09-01,1987-09-01,1,0.26143306493759155,0.6201348900794983,1987
1987-09-13,1987-09-23,11,41.797932147979736,42.157774209976196,1987
1987-12-19,1987-12-19,1,1.0320719480514526,1.8666250705718994,1987
1987-12-21,1987-12-22,2,4.7693030834198,5.209805250167847,1987
1988-07-27,1988-07-27,1,0.5501396656036377,1.1635136604309082,1988
1988-08-02,1988-08-02,1,0.5952565670013428,1.0936017036437988,1988
1988-08-14,1988-08-14,1,0.7003345489501953,0.9835447072982788,1988
1988-09-06,1988-09-06,1,0.8347795605659485,1.4300670623779297,1988
1988-09-28,1988-09-28,1,0.2913256287574768,0.5402847528457642,1988
1988-10-16,1988-10-18,3,3.8525627851486206,3.942805767059326,1988
1989-02-08,1989-02-08,1,0.884275496006012,1.3152401447296143,1989
1989-02-19,1989-02-20,2,4.607337951660156,4.754081726074219,1989
1989-03-12,1989-03-12,1,1.2594252824783325,1.343575119972229,1989
1989-03-28,1989-03-31,4,7.78104555606842,7.925284266471863,1989
1989-05-06,1989-05-06,1,0.527336835861206,1.3862472772598267,1989
1989-10-24,1989-10-27,4,6.219023108482361,7.516726136207581,1989
1989-12-17,1989-12-17,1,1.9567614793777466,2.9578604698181152,1989
1989-12-19,1989-12-19,1,1.7019644975662231,2.912318229675293,1989
1990-02-15,1990-02-15,1,4.366659164428711,5.207437515258789,1990
1990-02-20,1990-02-25,6,14.17417585849762,14.568884134292603,1990
