Timestamp,Numero Timestamp,Indice,Media (°C),Mediana (°C),95° Perc. (°C),99° Perc. (°C),Massimo (°C),Soglia (°C),Media > Soglia,Mediana > Soglia,95° Perc. > Soglia,99° Perc. > Soglia,Massimo > Soglia,Data,Heat Wave
2022-06-27T14:00:00.000000000,159,Heat Index,110.02245330810547,90.61415100097656,200.40192031860323,252.0547940063476,337.9787292480469,40.6,si,si,si,si,si,2022-06-27,caso isolato
2022-06-27T14:00:00.000000000,159,Humidex,35.4289174013372,39.23423490297293,44.95070026695894,45.79661619101024,47.22629689832456,45.0,no,no,no,si,si,2022-06-27,caso isolato
2022-06-27T14:00:00.000000000,159,Lethal Heat Stress Index,23.687557220458984,25.61241912841797,27.82374315261841,28.416398811340333,29.3626708984375,27.0,no,no,si,si,si,2022-06-27,caso isolato
2022-06-27T14:00:00.000000000,159,UTCI,34.88897705078125,38.254417419433594,43.72606296539307,44.745889282226564,46.28506851196289,46.0,no,no,no,no,si,2022-06-27,caso isolato
2022-06-27T14:00:00.000000000,159,WBGT,23.79189109802246,26.050281524658203,29.040369606018064,29.462555198669435,30.303281784057617,30.0,no,no,no,no,si,2022-06-27,caso isolato
2022-07-22T14:00:00.000000000,309,Heat Index,82.58344268798828,71.01319885253906,134.66909942626953,208.02910659790038,297.7340393066406,40.6,si,si,si,si,si,2022-07-22,heat wave
2022-07-22T14:00:00.000000000,309,Humidex,36.42420023570639,39.86017611514012,45.13068672278751,45.98563123286744,47.00382532020717,45.0,no,no,si,si,si,2022-07-22,heat wave
2022-07-22T14:00:00.000000000,309,Lethal Heat Stress Index,23.21138572692871,24.606380462646484,27.437567901611327,28.053049507141115,28.470069885253906,27.0,no,no,si,si,si,2022-07-22,heat wave
2022-07-22T14:00:00.000000000,309,UTCI,37.570865631103516,40.90657043457031,45.116885566711424,45.80859424591065,46.60852813720703,46.0,no,no,no,no,si,2022-07-22,heat wave
2022-07-22T14:00:00.000000000,309,WBGT,24.091400146484375,26.006790161132812,29.00931072235107,29.470568313598633,30.0389404296875,30.0,no,no,no,no,si,2022-07-22,heat wave
2022-07-23T13:00:00.000000000,314,Heat Index,101.13182830810547,80.35982513427734,200.92128982543943,252.24534057617186,330.0290832519531,40.6,si,si,si,si,si,2022-07-23,heat wave
2022-07-23T13:00:00.000000000,314,Humidex,35.86060653252309,39.527085897489286,45.14242019220981,46.15800270716542,48.70750509151185,45.0,no,no,si,si,si,2022-07-23,heat wave
2022-07-23T13:00:00.000000000,314,Lethal Heat Stress Index,23.482498168945312,25.13494873046875,28.42249889373779,29.250704345703124,30.096372604370117,27.0,no,no,si,si,si,2022-07-23,heat wave
2022-07-23T13:00:00.000000000,314,UTCI,35.98395919799805,39.155982971191406,44.61244945526123,45.30986179351807,46.23429870605469,46.0,no,no,no,no,si,2022-07-23,heat wave
2022-07-23T13:00:00.000000000,314,WBGT,23.921926498413086,26.024066925048828,29.093020343780516,29.763288269042967,31.054542541503906,30.0,no,no,no,no,si,2022-07-23,heat wave
2022-07-23T14:00:00.000000000,315,Heat Index,105.47300720214844,84.9844970703125,230.81591720581025,277.5289013671874,330.08367919921875,40.6,si,si,si,si,si,2022-07-23,heat wave
2022-07-23T14:00:00.000000000,315,Humidex,35.86839305195299,39.77071011863754,45.6683079355238,46.92002158646202,49.15010990451083,45.0,no,no,si,si,si,2022-07-23,heat wave
2022-07-23T14:00:00.000000000,315,Lethal Heat Stress Index,23.535768508911133,25.394329071044922,28.66219902038574,29.44865036010742,30.656112670898438,27.0,no,no,si,si,si,2022-07-23,heat wave
2022-07-23T14:00:00.000000000,315,UTCI,35.761756896972656,38.744422912597656,45.06338596343994,45.85921466827393,46.91573715209961,46.0,no,no,no,no,si,2022-07-23,heat wave
2022-07-23T14:00:00.000000000,315,WBGT,23.93596076965332,26.27764129638672,29.393806838989253,30.117522354125974,31.280349731445312,30.0,no,no,no,si,si,2022-07-23,heat wave
2022-07-23T15:00:00.000000000,316,Heat Index,115.72994232177734,93.65441131591797,261.5082138061521,296.0119400024414,346.0899353027344,40.6,si,si,si,si,si,2022-07-23,heat wave
2022-07-23T15:00:00.000000000,316,Humidex,35.08362873704148,38.41986593981008,44.92226187233053,47.07803729974246,49.12571194385026,45.0,no,no,no,si,si,2022-07-23,heat wave
2022-07-23T15:00:00.000000000,316,Lethal Heat Stress Index,23.393779754638672,25.22859764099121,28.372287845611574,29.65501453399658,30.569561004638672,27.0,no,no,si,si,si,2022-07-23,heat wave
2022-07-23T15:00:00.000000000,316,UTCI,34.488929748535156,36.853363037109375,44.448941230773926,45.256256599426266,46.11440658569336,46.0,no,no,no,no,si,2022-07-23,heat wave
2022-07-23T15:00:00.000000000,316,WBGT,23.55823516845703,25.564239501953125,29.01079626083374,30.224278869628908,31.26945686340332,30.0,no,no,no,si,si,2022-07-23,heat wave
2022-07-25T14:00:00.000000000,327,Heat Index,113.60092163085938,89.16604614257812,220.97621612548818,267.58118286132805,319.7315979003906,40.6,si,si,si,si,si,2022-07-25,caso isolato
2022-07-25T14:00:00.000000000,327,Humidex,37.65298881438112,41.92855233791954,46.977821571288715,47.61889470855324,49.09671826962756,45.0,no,no,si,si,si,2022-07-25,caso isolato
2022-07-25T14:00:00.000000000,327,Lethal Heat Stress Index,24.863279342651367,26.7559814453125,28.864105701446533,29.251096630096434,30.01968002319336,27.0,no,no,si,si,si,2022-07-25,caso isolato
